Porto,"['Oporto', 'Portugal', 'Est√°dio Do Drag√£o', 'Via Futebol Clube do Porto', '50948', 'Natural']"
Benfica,"['Lisboa', 'Portugal', 'Est√°dio da Luz', 'Rua Jos√© Maria Nicolau', '65647', 'Natural']"
Sporting CP,"['Lisboa', 'Portugal', 'Jos√© Alvalade', 'Rua Professor Fernando da Fonseca 1600-616 Lisboa Portugal', '50486', 'Natural']"
Vit√≥ria,"['Guimar√£es', 'Portugal', 'Est√°dio Dom Afonso Henriques', 'Rua de S√£o Gon√ßalo 505', '30165', 'Natural']"
Chaves,"['Chaves', 'Portugal', 'Est√°dio Municipal Eng. Manuel Branco Teixeira', 'Avenida do Est√°dio Municipal', '12000', 'Natural']"
Belenenses,"['Lisboa', 'Portugal', 'Est√°dio do Restelo', 'Avenida da Ilha da Madeira, Santa Maria de Bel√©m', '32500', 'Natural']"
Vit√≥ria Set√∫bal,"['Set√∫bal', 'Portugal', 'Est√°dio do Bonfim', 'Pra√ßa Vitoria Futebol Clube', '18694', 'Natural']"
Boavista,"['Oporto', 'Portugal', 'Bessa S√©culo XXI', 'Rua O Primeiro de Janeiro Est√°dio do Bessa S√©culo XXI 4100 PORTO', '30000', 'Natural']"
Tirsense,"['Santo Tirso', 'Portugal', None, None, None, None]"
Mar√≠timo,"['Funchal', 'Portugal', 'Est√°dio dos Barreiros', 'Rua do Dr. Pita', '8992', 'Natural']"
Beira Mar SC,"[None, 'Portugal', 'Municipal de Aveiro', None, '30000', None]"
Sporting Braga,"['Braga', 'Portugal', 'Est√°dio Municipal de Braga', 'Avenida do Est√°dio', '30286', 'Natural']"
Estrela Amadora,"[None, None, None, None, None, None]"
Nacional,"[None, 'Portugal', 'Est√°dio da Madeira', 'Rua do Esmeraldo, n¬∫ 46', '8589', 'Natural']"
Penafiel,"[None, 'Portugal', 'Est√°dio Municipal 25 de Abril', 'Rua Futebol Clube de Penafiel', '6500', 'Natural']"
Uni√£o Madeira,"[None, 'Portugal', 'Est√°dio Municipal de Machico', 'Rua da Estacada 9', '3300', 'Natural']"
Portimonense,"['Portim√£o', 'Portugal', 'Est√°dio do Portimonense SC', 'Avenida Zeca Afonso Portim√£o', '9544', 'Natural']"
Feirense,"['Santa Maria da Feira', 'Portugal', 'Est√°dio Marcolino de Castro', 'Avenida 25 de Abril 14', '4667', 'Natural']"
Napoli,"['N√°poles, Italia', 'Italy', 'San Paolo', 'Pizzale Vincenzo Tecchio', '76824', 'Natural']"
Milan,"['Milano, Italia', 'Italy', 'San Siro', 'Via Piccolomini 5', '82995', 'Natural']"
Inter,"['Milano, Italia', 'Italy', 'Stadio Giuseppe Meazza', 'Via Piccolomini 5', '82995', 'Natural']"
Juventus,"['Tur√\xadn, Italia', 'Italy', 'Juventus Stadium', 'Strada Comunale di Altessano 131', '41000', 'Natural']"
Sampdoria,"['G√©nova, Italia', 'Italy', 'Stadio Luigi Ferraris', 'Via Giovanni De Pr√ , 1', '36703', 'Natural']"
Roma,"['Roma', 'Italy', 'Stadio Olimpico di Roma', 'Viale dei Gladiatori, 2 / Via del Foro Italico', '70634', 'Natural']"
Atalanta,"['B√©rgamo, Italia', 'Italy', ""Stadio Atleti Azzurri d'Italia"", 'Viale Caio Giulio Cesare, 18', '24726', 'Natural']"
Bologna,"['Bolonia, Italia', 'Italy', ""Stadio Renato Dall'Ara"", 'Via Andrea Costa, 174', '36532', 'Natural']"
Lazio,"['Roma, Italia', 'Italy', 'Stadio Olimpico', 'Viale dei Gladiatori, 2 / Via del Foro Italico', '82656', 'Natural']"
SSC Bari,"['Bari', 'Italy', 'Stadio Comunale San Nicola', 'Strada Provinciale Modugno-Carbonara', '58270', 'Natural']"
Genoa,"['G√©nova, Italia', 'Italy', 'Stadio Comunale Luigi Ferraris', 'Via Giovanni De Pr√ , 1', '36703', 'Natural']"
Fiorentina,"['Firenze, Italia', 'Italy', 'Stadio Artemio Franchi', 'Viale Manfredo Fanti 14', '47290', 'Natural']"
Cesena,"[None, 'Italy', 'Stadio Dino Manuzzi', 'Via dello Stadio, 124', '24026', 'C√©sped Artificial']"
Lecce,"['Lecce', 'Italy', 'Stadio Via del Mar', 'Viale dello Stadio', '36285', 'Natural']"
Udinese,"['√\x9adine, Italia', 'Italy', 'Dacia Arena', 'Piazza le Repubblica Argentina, 3', '25000', 'Natural']"
Hellas Verona,"['Verona', 'Italy', ""Stadio Marc'Antonio Bentegodi"", 'Piazzale Olimpia', '44799', 'Natural']"
Cremonese,"['Cremona', 'Italy', 'Stadio Giovanni Zini', 'Via Persico, 19', '20034', 'Natural']"
Ascoli,"['Ascoli Piceno', 'Italy', 'Stadio Cino e Lillo Del Duca', 'Via delle Zeppelle, 1', '20853', 'Natural']"
Hertha BSC,"['Berl√\xadn', 'Germany', 'Olympiastadion Berlin', 'Olympischer Platz 3', '76065', 'Natural']"
Wattenscheid 09,"[None, 'Germany', 'Lohrheidestadion', 'Lohrheidestra√\x9fe 81-83, Wattenscheid', '16233', 'Natural']"
Saarbr√ºcken,"[None, 'Germany', 'Stadion Ludwigspark', 'Camphauser Stra√\x9fe', '35286', 'Natural']"
Stuttgarter,"['Stuttgart', 'Germany', 'GAZƒ∞-Stadion auf der Waldau', 'Guts-Muths Weg 4, Waldau', '11436', 'Natural']"
Schalke 04,"['Gelsenkirchen', 'Germany', 'VELTINS-Arena', 'Ernst-Kuzorra-Weg 1 45891 Gelsenkirchen', '62271', 'Natural']"
RW Essen,"[None, 'Germany', 'Stadion Essen', 'Hafenstra√\x9fe 97a, Bergeborbeck', '20650', 'Natural']"
Braunschweig,"['Braunschweig', 'Germany', 'Eintracht-Stadion', 'Hamburger Stra√\x9fe 210 38112 Braunschweig', '23325', 'Natural']"
Hannover 96,"['Hannover', 'Germany', 'HDI-Arena', 'Robert-Enke-Stra√\x9fe 1, 30169 Hannover', '49000', 'Natural']"
